nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
Tight polling method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
1060, 530, 5652, 116, 0, 0
1062, 531, 5641, 83, 0, 0
1064, 532, 5632, 81, 0, 0
1066, 533, 5620, 80, 0, 0
1068, 534, 5611, 73, 0, 0
1070, 535, 5599, 80, 0, 0
1072, 536, 5590, 75, 0, 0
1074, 537, 5578, 72, 0, 0
1076, 538, 5569, 74, 0, 0
1078, 539, 5557, 80, 0, 0
1080, 540, 5548, 72, 0, 0
1082, 541, 5539, 80, 0, 0
1084, 542, 5527, 74, 0, 0
1086, 543, 5518, 69, 0, 0
1088, 544, 5506, 66, 0, 0
1090, 545, 5497, 71, 0, 0
1092, 546, 5488, 62, 0, 0
1094, 547, 5476, 85, 0, 0
1096, 548, 5467, 73, 0, 0
1098, 549, 5458, 75, 0, 0
1100, 550, 5446, 81, 0, 0
1102, 551, 5437, 76, 0, 0
1104, 552, 5428, 66, 0, 0
1106, 553, 5419, 86, 0, 0
1108, 554, 5407, 75, 0, 0
1110, 555, 5398, 68, 0, 0
1112, 556, 5389, 77, 0, 0
1114, 557, 5380, 68, 0, 0
1116, 558, 5368, 76, 0, 0
1118, 559, 5359, 77, 0, 0
1120, 560, 5350, 81, 0, 0
1122, 561, 5341, 70, 0, 0
1124, 562, 5332, 72, 0, 0
1126, 563, 5323, 65, 0, 0
1128, 564, 5311, 90, 0, 0
1130, 565, 5302, 87, 0, 0
1132, 566, 5293, 81, 0, 0
1134, 567, 5284, 63, 0, 0
1136, 568, 5275, 70, 0, 0
1138, 569, 5266, 77, 0, 0
1140, 570, 5257, 77, 0, 0
1142, 571, 5248, 70, 0, 0
1144, 572, 5239, 71, 0, 0
1146, 573, 5230, 74, 0, 0
1148, 574, 5221, 76, 0, 0
1150, 575, 5212, 71, 0, 0
1152, 576, 5203, 72, 0, 0
1154, 577, 5194, 68, 0, 0
1156, 578, 5185, 71, 0, 0
1158, 579, 5176, 75, 0, 0
1160, 580, 5167, 72, 0, 0
1162, 581, 5158, 75, 0, 0
1164, 582, 5149, 76, 0, 0
1166, 583, 5140, 83, 0, 0
1168, 584, 5131, 66, 0, 0
1170, 585, 5122, 68, 0, 0
1172, 586, 5113, 73, 0, 0
1174, 587, 5104, 78, 0, 0
1176, 588, 5095, 72, 0, 0
1178, 589, 5086, 71, 0, 0
1180, 590, 5080, 75, 0, 0
1182, 591, 5071, 74, 0, 0
1184, 592, 5062, 75, 0, 0
1186, 593, 5053, 77, 0, 0
1188, 594, 5044, 71, 0, 0
1190, 595, 5035, 75, 0, 0
1192, 596, 5029, 72, 0, 0
1194, 597, 5020, 77, 0, 0
1196, 598, 5011, 72, 0, 0
1198, 599, 5002, 70, 0, 0
1200, 600, 4993, 82, 0, 0
1202, 601, 4987, 63, 0, 0
1204, 602, 4978, 61, 0, 0
1206, 603, 4969, 78, 0, 0
1208, 604, 4960, 77, 0, 0
1210, 605, 4954, 73, 0, 0
1212, 606, 4945, 77, 0, 0
1214, 607, 4936, 73, 0, 0
1216, 608, 4930, 74, 0, 0
1218, 609, 4921, 75, 0, 0
1220, 610, 4912, 72, 0, 0
1222, 611, 4903, 73, 0, 0
1224, 612, 4897, 72, 0, 0
1226, 613, 4888, 75, 0, 0
1228, 614, 6508, 72, 0, 0
1230, 615, 4873, 76, 0, 0
1232, 616, 6485, 82, 0, 0
1234, 617, 6476, 71, 0, 0
1236, 618, 6464, 73, 0, 0
1238, 619, 6453, 76, 0, 0
1240, 620, 6444, 74, 0, 0
1242, 621, 6433, 81, 0, 0
1244, 622, 6424, 75, 0, 0
1246, 623, 6413, 70, 0, 0
1248, 624, 6404, 71, 0, 0
1250, 625, 6392, 69, 0, 0
1252, 626, 6381, 72, 0, 0
1254, 627, 6372, 66, 0, 0
1256, 628, 6361, 78, 0, 0
1258, 629, 6352, 67, 0, 0
1260, 630, 6341, 66, 0, 0
1262, 631, 6332, 73, 0, 0
1264, 632, 6321, 64, 0, 0
1266, 633, 6312, 67, 0, 0
1268, 634, 6301, 73, 0, 0
1270, 635, 6292, 73, 0, 0
1272, 636, 6281, 69, 0, 0
1274, 637, 6272, 75, 0, 0
1276, 638, 6261, 75, 0, 0
1278, 639, 6252, 70, 0, 0
1280, 640, 6244, 74, 0, 0
1282, 641, 6233, 68, 0, 0
1284, 642, 6224, 75, 0, 0
1286, 643, 6213, 70, 0, 0
1288, 644, 6204, 75, 0, 0
1290, 645, 6193, 79, 0, 0
1292, 646, 6185, 76, 0, 0
1294, 647, 6176, 77, 0, 0
1296, 648, 6165, 73, 0, 0
1298, 649, 6156, 70, 0, 0
1300, 650, 6148, 70, 0, 0
1302, 651, 6137, 78, 0, 0
1304, 652, 6128, 75, 0, 0
1306, 653, 6120, 77, 0, 0
1308, 654, 6109, 74, 0, 0
1310, 655, 6100, 76, 0, 0
1312, 656, 6092, 73, 0, 0
1314, 657, 6081, 76, 0, 0
1316, 658, 6072, 76, 0, 0
1318, 659, 6064, 75, 0, 0
1320, 660, 6053, 71, 0, 0
1322, 661, 6045, 75, 0, 0
1324, 662, 6036, 68, 0, 0
1326, 663, 6028, 76, 0, 0
1328, 664, 6017, 69, 0, 0
1330, 665, 6008, 63, 0, 0
1332, 666, 6000, 62, 0, 0
1334, 667, 5992, 73, 0, 0
1336, 668, 5981, 80, 0, 0
1338, 669, 5972, 73, 0, 0
1340, 670, 5964, 74, 0, 0
1342, 671, 5956, 75, 0, 0
1344, 672, 5945, 76, 0, 0
1346, 673, 5937, 74, 0, 0
1348, 674, 5928, 76, 0, 0
1350, 675, 5921, 70, 0, 0
1352, 676, 5912, 71, 0, 0
1354, 677, 5901, 75, 0, 0
1356, 678, 5893, 69, 0, 0
1358, 679, 5885, 74, 0, 0
1360, 680, 5877, 69, 0, 0
1362, 681, 5868, 77, 0, 0
1364, 682, 5860, 71, 0, 0
1366, 683, 5849, 72, 0, 0
1368, 684, 5841, 75, 0, 0
1370, 685, 5833, 67, 0, 0
1372, 686, 5825, 71, 0, 0
1374, 687, 5816, 68, 0, 0
1376, 688, 5809, 65, 0, 0
1378, 689, 5800, 72, 0, 0
1380, 690, 5793, 63, 0, 0
1382, 691, 5784, 81, 0, 0
1384, 692, 5776, 71, 0, 0
